,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MSSubClass_2,MSSubClass_3,MSSubClass_4,MSSubClass_5,MSSubClass_6,MSSubClass_new,2ndFlrSF_2,2ndFlrSF_3,2ndFlrSF_4,OverallCond_2,OverallCond_3,OverallCond_4,OverallCond_5,OverallCond_6,OverallCond_7,age,SF_with_Bsmt,SF_wo_Bsmt,from_built_to_Remod,total_years,total_sqr,Total_Bathrooms,Total_porch_sf,TotRms,YearBuilt_cat,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,hasporch,hasalley,was_remod,is_new,SalePrice
0,60,RL,4.189654742026425,9.042040056544483,Pave,No_alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,7.444833273892193,0.6931471805599453,0,2,1,3,1,Gd,8,Typ,0,No_Fireplace,Attchd,2003.0,RFn,2,548,TA,TA,Y,0.0,4.127134385045092,0.0,0,0,0,No_Pool,No_Fence,None,0,2,2008,WD,Normal,3600.0,216000.0,12960000.0,777600000.0,777600000.0,219600,729316,622835864,531901827856,25,125,625,3125,15625,78125,5,2566,1710,0,4006,2416,3.6931471805599454,4.127134385045092,11.693147180559945,new_new,0,1,1,1,0,1,0,0,False,12.247694320220994
1,20,RL,4.394449154672439,9.169622538697624,Pave,No_alley,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,7.141245122350491,0.0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,5.700443573390687,0.0,0.0,0,0,0,No_Pool,No_Fence,None,0,5,2007,WD,Normal,400.0,8000.0,160000.0,3200000.0,3200000.0,8400,0,0,0,64,512,4096,32768,262144,2097152,31,2524,1262,0,3952,2240,3.0,5.700443573390687,9.0,middle,0,0,1,1,1,1,0,0,False,12.109010932687042
2,60,RL,4.23410650459726,9.328212292571072,Pave,No_alley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,7.488293515159428,0.6931471805599453,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0.0,3.7612001156935624,0.0,0,0,0,No_Pool,No_Fence,None,0,9,2008,WD,Normal,3600.0,216000.0,12960000.0,777600000.0,777600000.0,219600,749956,649461896,562434001936,25,125,625,3125,15625,78125,6,2706,1786,1,4003,2272,3.6931471805599454,3.7612001156935624,9.693147180559945,new_new,0,1,1,1,1,1,0,1,False,12.31716669303576
3,70,RL,4.110873864173311,9.164401140034737,Pave,No_alley,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,7.4489161025442,0.6931471805599453,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0.0,3.58351893845611,5.60947179518496,0,0,0,No_Pool,No_Fence,None,0,2,2006,WD,Abnorml,4900.0,343000.0,24010000.0,1680700000.0,1680700000.0,347900,571536,432081216,326653399296,25,125,625,3125,15625,78125,36,2473,1717,55,3885,1933,1.6931471805599454,9.19299073364107,8.693147180559945,very_old,0,1,1,1,1,1,0,1,False,11.84939770159144
4,60,RL,4.442651256490317,9.565283817736766,Pave,No_alley,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,7.695757990554761,0.6931471805599453,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,5.262690188904886,4.442651256490317,0.0,0,0,0,No_Pool,No_Fence,None,0,12,2008,WD,Normal,3600.0,216000.0,12960000.0,777600000.0,777600000.0,219600,1108809,1167575877,1229457398481,25,125,625,3125,15625,78125,8,3343,2198,0,4000,2853,3.6931471805599454,9.705341445395202,12.693147180559945,new_new,0,1,1,1,1,1,0,0,False,12.429216196844383
5,50,RL,4.454347296253507,9.55506418479516,Pave,No_alley,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,7.217443431696533,0.6931471805599453,0,1,1,1,1,TA,5,Typ,0,No_Fireplace,Attchd,1993.0,Unf,2,480,TA,TA,Y,3.713572066704308,3.4339872044851463,0.0,320,0,0,No_Pool,MnPrv,Shed,700,10,2009,WD,Normal,2500.0,125000.0,6250000.0,312500000.0,312500000.0,127500,320356,181321496,102627966736,25,125,625,3125,15625,78125,14,2158,1362,2,3988,2094,2.6931471805599454,327.1475592711895,7.693147180559945,new,0,1,1,1,0,1,0,1,False,11.870599909242044
6,20,RL,4.330733340286331,9.218804450388312,Pave,No_alley,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,7.43543801981455,0.6931471805599453,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,5.545177444479562,4.060443010546419,0.0,0,0,0,No_Pool,No_Fence,None,0,8,2007,WD,Normal,400.0,8000.0,160000.0,3200000.0,3200000.0,8400,0,0,0,25,125,625,3125,15625,78125,2,3380,1694,1,4009,3063,2.6931471805599454,9.605620455025981,9.693147180559945,new_new,0,0,1,1,1,1,0,1,False,12.634603026569334
7,60,RL,4.394449154672439,9.247925132303454,Pave,No_alley,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,7.645397699428633,0.6931471805599453,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,5.4638318050256105,5.3230099791384085,5.43372200355424,0,0,0,No_Pool,No_Fence,Shed,350,11,2009,WD,Normal,3600.0,216000.0,12960000.0,777600000.0,777600000.0,219600,966289,949862087,933714431521,36,216,1296,7776,46656,279936,36,3197,2090,0,3946,2981,3.6931471805599454,16.22056378771826,10.693147180559945,middle,0,1,1,1,1,1,0,0,False,12.206072645530174
8,50,RM,3.9512437185814275,8.71948076085107,Pave,No_alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,7.4815557019095165,0.0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,4.51085950651685,0.0,5.327876168789581,0,0,0,No_Pool,No_Fence,None,0,4,2008,WD,Abnorml,2500.0,125000.0,6250000.0,312500000.0,312500000.0,127500,565504,425259008,319794774016,25,125,625,3125,15625,78125,58,2726,1774,19,3881,1774,2.0,9.838735675306431,10.0,old,0,1,1,1,1,1,0,1,False,11.77452020265869
9,190,RL,3.9318256327243257,8.912069097970134,Pave,No_alley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,6.982862751468942,0.6931471805599453,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0.0,1.6094379124341003,0.0,0,0,0,No_Pool,No_Fence,None,0,1,2008,WD,Normal,36100.0,6859000.0,1303210000.0,247609900000.0,247609900000.0,6895100,0,0,0,36,216,1296,7776,46656,279936,58,2068,1077,11,3889,1928,1.6931471805599454,1.6094379124341003,6.693147180559945,old,0,0,1,1,1,1,0,1,False,11.678439903447801
